crab.number,year,month,day,zone,location,vessel,missing.legs.left,missing.legs.right,shell.condition,maturity,carapace.width,abdomen.width,weight,egg.colour,egg.development,gonad.colour,eggs.remaining,egg.weight,sample.egg.count,sample.egg.weight,fecundity,comment
125,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,62.73,43.99,84.0,OF,8,O,50,1.8496,562,0.0314,33104,Dry eggs
126,2012,8,17,12,Bradelle Bank,Marco Michel,,4,4,M,60.60,42.67,75.7,OF,1-3,OC,75,,,,#DIV/0!,
127,2012,8,17,12,Bradelle Bank,Marco Michel,1,,4,M,63.15,44.38,95.2,OF,8,O,100,2.6466,630,0.0306,54489,
128,2012,8,17,12,Bradelle Bank,Marco Michel,1,,4,M,57.81,38.74,67.8,OF,1-3,O,100,2.8479,475,0.0310,43637,
129,2012,8,17,12,Bradelle Bank,Marco Michel,,2,4,M,60.23,41.45,88.9,OF,9,O,100,,,,#DIV/0!,
130,2012,8,17,12,Bradelle Bank,Marco Michel,,1,3M,M,61.06,44.24,81.6,OF,1-3,O,75,2.9133,545,0.0318,49929,
131,2012,8,17,12,Bradelle Bank,Marco Michel,,"3,4",4,M,60.65,41.99,73.6,OF,9,O,75,,,,#DIV/0!,
132,2012,8,17,12,Bradelle Bank,Marco Michel,2R,,3,P,62.07,41.49,74.7,OF,1-3,O,75,1.9521,507,0.0300,32990,
133,2012,8,17,12,Bradelle Bank,Marco Michel,,,4,M,55.84,38.52,68.3,OF,9,O,75,,,,#DIV/0!,
134,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,59.91,39.38,74.7,OF,7,O,75,,,,#DIV/0!,
135,2012,8,17,12,Bradelle Bank,Marco Michel,,2,3,P,58.94,39.25,65.3,OF,3-4,O,50,1.5913,565,0.0308,29191,
136,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,46.53,30.22,34.1,OF,6,O,50,0.6729,649,0.0308,14179,
137,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,56.93,38.84,63.1,OF,8,O,75,1.3405,598,0.0304,26369,
138,2012,8,17,12,Bradelle Bank,Marco Michel,,2,4,M,55.08,40.48,66.0,OF,1-3,O,75,,,,#DIV/0!,
139,2012,8,17,12,Bradelle Bank,Marco Michel,1,2R,4,M,56.25,37.37,58.9,OF,10-11,O,75,,,,#DIV/0!,
140,2012,8,17,12,Bradelle Bank,Marco Michel,2,2,3M,M,57.09,39.10,64.6,OF,1-3,BE,75,,,,#DIV/0!,
141,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,57.40,40.92,66.3,OF,5,O,75,1.5150,538,0.0301,27079,
