"date.sampled","start.time","date.measured","zone","location","vessel","sampler","latitude","longitude","depth","trap","crab.number","sex","shell.condition","carapace.width","chela.height","abdomen.width","egg.colour","eggs.remaining","gonad.colour","egg.details","missing.legs","maturity","barnacles","egg.colour.l","egg.colour.a","egg.colour.b","gonad.colour.l","gonad.colour.a","gonad.colour.b","hepato.colour.l","hepato.colour.a","hepato.colour.b","comment","crab.weight","gonad.weight","hepato.weight"
"2018-06-15","","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",1,13,"M",2.5,70.47,15.3,NA,NA,NA,NA,"","**********","multiparous","",NA,NA,NA,NA,NA,NA,NA,"",NA,"Dal",NA,NA,NA
"2018-06-15","","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",1,14,"M",2.5,74.21,15.15,NA,NA,NA,NA,"","**********","immature","",NA,NA,NA,NA,NA,NA,NA,"",NA,"I Skip Moult",NA,NA,NA
"2018-06-15","","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",1,15,"M",3,77.17,16.58,NA,NA,NA,NA,"","**********","immature","",NA,NA,NA,NA,NA,NA,NA,"",NA,"I Skip Moult ?",NA,NA,NA
"2018-06-15","","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",1,16,"M",3,79.05,17.71,NA,NA,NA,NA,"","**********","multiparous","",NA,NA,NA,NA,NA,NA,NA,"",NA,"Dal",NA,NA,NA
"2018-06-15","","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",1,17,"M",NA,76.13,NA,NA,NA,NA,NA,"","**********","","",NA,NA,NA,NA,NA,NA,NA,"",NA,"Dal",NA,NA,NA
"2018-06-15","","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",1,18,"M",NA,72.07,NA,NA,NA,NA,NA,"","**********","","",NA,NA,NA,NA,NA,NA,NA,"",NA,"Dal",NA,NA,NA
"2018-06-15","","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",1,19,"M",NA,80.22,NA,NA,NA,NA,NA,"","**********","","",NA,NA,NA,NA,NA,NA,NA,"",NA,"Dal",NA,NA,NA
"2018-06-15","","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",1,20,"M",NA,87.09,NA,NA,NA,NA,NA,"","**********","","",NA,NA,NA,NA,NA,NA,NA,"",NA,"Dal",NA,NA,NA
"2018-06-15","","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",1,21,"M",NA,77.45,NA,NA,NA,NA,NA,"","**********","","",NA,NA,NA,NA,NA,NA,NA,"",NA,"Dal",NA,NA,NA
"2018-06-15","","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",1,22,"M",NA,60.11,NA,NA,NA,NA,NA,"","**********","","",NA,NA,NA,NA,NA,NA,NA,"",NA,"Dal",NA,NA,NA
"2018-06-16","7:30","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",2,14,"F",4,74.01,NA,43.37,"light orange",90,"beige","Eggs Orange Spot","**********","multiparous","",50.39,30.32,42.02,64.1,4.26,16.01,39.62,"6.120",18.77,"Dal  Egg #40",91.3,1.6005,3.9962
"2018-06-16","7:30","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",2,15,"F",4,63.93,NA,44.7,"light orange",100,"beige","Eggs Orange Spot","**********","multiparous","",48.58,27.43,38.11,51.06,2.86,23.36,62.06,"4.410",16.71,"Dal  Egg #43",104.5,1.5978,4.5106
"2018-06-16","7:30","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",2,16,"F",4,61.2,NA,42.21,"light orange",100,"beige","Eggs Orange Spot","**********","multiparous","",50.54,27.43,40.73,61.11,5.41,16.98,65,"4.710",19.29,"Dal  Egg #46",79.2,1.2972,4.6982
"2018-06-16","7:30","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",2,17,"F",4,69.94,NA,48.22,"light orange",100,"beige","Eggs Orange Spot","**********","multiparous","",50.12,34.62,41.5,58.35,13.3,23.85,51.35,"3.680",32.85,"Dal  Egg #49",138.4,2.3089,5.0869
"2018-06-16","7:30","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",2,18,"F",3,55.12,NA,39.76,"light orange",100,"beige","Eggs Orange Spot","**********","multiparous","",51.81,29.18,44.22,60.6,11.89,22.81,56.44,"3.750",28.98,"Dal  Egg #52",62.3,0.6557,2.5098
